TEAM,Akurasi Umpan,Akurasi Tembakan,Kartu Kuning,Kartu Merah,Offside,Umpan Gagal,Umpan Sukses,Pelanggaran,Penguasaan Bola,Tekel Sukses,Tembakan Diblok,Tembakan ke Gawang,Tendangan Sudut,Total Umpan,Total Tembakan
AREMA FC,86,60,2,0,1,60,375,10,57,10,1,6,4,435,11
BALI UNITED FC,82,44,3,0,0,76,364,12,67,16,5,8,12,440,23
BHAYANGKARA PRESISI LAMPUNG FC,76,71,2,0,0,75,238,15,44,16,3,5,9,313,10
BORNEO FC SAMARINDA,82,40,0,0,1,65,303,13,56,23,1,2,1,368,6
DEWA UNITED BANTEN FC,88,58,3,0,2,56,415,11,64,14,10,7,9,471,22
MADURA UNITED FC,77,56,2,0,2,99,344,9,55,16,2,5,6,443,11
MALUT UNITED FC,80,86,2,0,1,55,226,9,36,16,2,6,3,281,9
PERSEBAYA SURABAYA,80,33,1,0,0,79,317,13,52,9,2,2,4,396,8
PERSIB BANDUNG,85,50,1,0,2,41,240,17,41,7,8,7,3,281,22
PERSIJA JAKARTA,85,50,1,0,0,67,383,14,62,3,2,6,3,450,14
PERSIJAP JEPARA,80,44,6,0,1,61,258,8,68,17,2,4,6,319,11
PERSIK KEDIRI,73,60,1,0,1,62,174,9,33,25,1,3,7,236,6
PERSIS SOLO,82,50,2,1,2,59,274,13,45,7,1,3,3,333,7
PERSITA,76,0,0,0,5,70,226,10,38,8,2,0,1,296,6
PSBS BIAK,82,80,0,0,1,58,272,11,43,11,2,4,1,330,7
PSIM YOGYAKARTA,78,75,2,0,1,79,283,4,48,5,3,6,2,362,11
PSM MAKASSAR,72,60,5,0,0,47,122,16,32,18,2,3,2,169,7
SEMEN PADANG FC,81,25,3,0,2,74,336,13,59,13,2,1,1,410,6
